,strong,weak,input,type,benchmark,Logistic Regression,SVM,MLP,Ensemble,RouteLLM
0,gpt-4o,llama3-8b,internal state,1/2,TestEval_line,0.9791044776119403,0.9895522388059701,0.9589552238805971,0.9694029850746269,0.9895522388059701
1,gpt-4o,llama3-8b,internal state,2/3,TestEval_line,0.9895522388059701,0.9895522388059701,0.9895522388059701,0.9694029850746269,0.9895522388059701
2,gpt-4o,llama3-8b,internal state,3/4,TestEval_line,0.9791044776119403,0.9895522388059701,0.9992537313432835,0.9694029850746269,0.9694029850746269
3,gpt-4o,llama3-8b,prompt embedding,nomic-embed-text,TestEval_line,0.9992537313432835,0.9895522388059701,0.9791044776119403,0.9992537313432835,0.9895522388059701
4,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.9694029850746269,0.9992537313432835,0.9895522388059701,0.9791044776119403,0.9895522388059701
5,gpt-4o,llama3-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.9694029850746269,0.9992537313432835,0.9895522388059701,0.9589552238805971,0.9992537313432835
6,gpt-4o,llama3.1-8b,internal state,1/2,TestEval_line,0.9895522388059701,0.9791044776119403,0.9694029850746269,0.9589552238805971,0.9895522388059701
7,gpt-4o,llama3.1-8b,internal state,2/3,TestEval_line,0.9992537313432835,0.9992537313432835,0.9791044776119403,0.9895522388059701,0.9791044776119403
8,gpt-4o,llama3.1-8b,internal state,3/4,TestEval_line,0.9895522388059701,0.9895522388059701,0.9895522388059701,0.9895522388059701,0.9694029850746269
9,gpt-4o,llama3.1-8b,prompt embedding,nomic-embed-text,TestEval_line,0.9694029850746269,0.9791044776119403,0.9895522388059701,0.9791044776119403,0.9895522388059701
10,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.9694029850746269,0.9791044776119403,0.9895522388059701,0.9895522388059701,0.9992537313432835
11,gpt-4o,llama3.1-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.9694029850746269,0.9791044776119403,0.9791044776119403,0.9895522388059701,0.9992537313432835
12,gpt-4o,mistral-nemo-12b,internal state,1/2,TestEval_line,0.9895522388059701,0.9992537313432835,0.9791044776119403,0.9895522388059701,0.9895522388059701
13,gpt-4o,mistral-nemo-12b,internal state,2/3,TestEval_line,0.9791044776119403,0.9694029850746269,0.9388059701492537,0.9791044776119403,0.9895522388059701
14,gpt-4o,mistral-nemo-12b,internal state,3/4,TestEval_line,0.9291044776119403,0.9694029850746269,1.0,0.9186567164179105,0.908955223880597
15,gpt-4o,mistral-nemo-12b,prompt embedding,nomic-embed-text,TestEval_line,0.9895522388059701,0.9992537313432835,0.9694029850746269,0.9895522388059701,0.9694029850746269
16,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-large,TestEval_line,0.9694029850746269,0.908955223880597,0.9895522388059701,0.9895522388059701,0.9895522388059701
17,gpt-4o,mistral-nemo-12b,prompt embedding,text-embedding-3-small,TestEval_line,0.9694029850746269,0.9791044776119403,0.9992537313432835,0.9791044776119403,0.9895522388059701
18,gpt-4o,qwen2.5-coder-7b,internal state,1/2,TestEval_line,0.9895522388059701,0.9895522388059701,1.0,0.9992537313432835,0.9791044776119403
19,gpt-4o,qwen2.5-coder-7b,internal state,2/3,TestEval_line,0.9992537313432835,0.9992537313432835,1.0,0.9992537313432835,0.9694029850746269
20,gpt-4o,qwen2.5-coder-7b,internal state,3/4,TestEval_line,0.9992537313432835,0.9895522388059701,0.9895522388059701,0.9895522388059701,0.9895522388059701
21,gpt-4o,qwen2.5-coder-7b,prompt embedding,nomic-embed-text,TestEval_line,0.9895522388059701,0.9992537313432835,0.9694029850746269,0.9992537313432835,0.9895522388059701
22,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-large,TestEval_line,0.9992537313432835,0.9992537313432835,0.9992537313432835,0.9992537313432835,0.9589552238805971
23,gpt-4o,qwen2.5-coder-7b,prompt embedding,text-embedding-3-small,TestEval_line,0.9992537313432835,0.9992537313432835,0.9992537313432835,0.9992537313432835,0.9492537313432836
24,gpt-4o,phi4-14b,internal state,1/2,TestEval_line,0.9992537313432835,0.9992537313432835,1.0,0.9791044776119403,0.9791044776119403
25,gpt-4o,phi4-14b,internal state,2/3,TestEval_line,0.9992537313432835,0.9589552238805971,1.0,0.9895522388059701,0.9895522388059701
26,gpt-4o,phi4-14b,internal state,3/4,TestEval_line,0.9992537313432835,0.9895522388059701,1.0,0.9895522388059701,0.9992537313432835
27,gpt-4o,phi4-14b,prompt embedding,nomic-embed-text,TestEval_line,0.9589552238805971,0.9388059701492537,0.9694029850746269,0.9492537313432836,0.9895522388059701
28,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-large,TestEval_line,0.9992537313432835,0.9895522388059701,0.8582089552238806,0.9992537313432835,0.9895522388059701
29,gpt-4o,phi4-14b,prompt embedding,text-embedding-3-small,TestEval_line,0.9992537313432835,0.9791044776119403,0.8582089552238806,0.9992537313432835,0.8783582089552239
30,gemini-2.5-flash-lite,llama3-8b,internal state,1/2,TestEval_line,0.9895522388059701,0.9895522388059701,0.9791044776119403,0.9992537313432835,0.9895522388059701
31,gemini-2.5-flash-lite,llama3-8b,internal state,2/3,TestEval_line,0.9895522388059701,0.9791044776119403,0.9985074626865672,0.9992537313432835,0.9895522388059701
32,gemini-2.5-flash-lite,llama3-8b,internal state,3/4,TestEval_line,0.9992537313432835,0.9992537313432835,0.9895522388059701,0.9992537313432835,0.9694029850746269
33,gemini-2.5-flash-lite,llama3-8b,prompt embedding,nomic-embed-text,TestEval_line,0.9895522388059701,0.9895522388059701,0.9791044776119403,0.9895522388059701,0.9985074626865672
34,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.9589552238805971,0.9992537313432835,0.9291044776119403,0.9388059701492537,0.8888059701492538
35,gemini-2.5-flash-lite,llama3-8b,prompt embedding,text-embedding-3-small,TestEval_line,0.9589552238805971,0.9992537313432835,0.9694029850746269,0.9492537313432836,0.8888059701492538
36,gemini-2.5-flash-lite,llama3.1-8b,internal state,1/2,TestEval_line,0.9992537313432835,0.9895522388059701,0.9589552238805971,0.9992537313432835,0.9589552238805971
37,gemini-2.5-flash-lite,llama3.1-8b,internal state,2/3,TestEval_line,0.9992537313432835,0.9992537313432835,0.908955223880597,0.9992537313432835,0.9694029850746269
38,gemini-2.5-flash-lite,llama3.1-8b,internal state,3/4,TestEval_line,0.9791044776119403,0.9895522388059701,0.9694029850746269,0.9992537313432835,0.9791044776119403
39,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,nomic-embed-text,TestEval_line,0.9895522388059701,0.9992537313432835,0.9492537313432836,0.9895522388059701,0.9992537313432835
40,gemini-2.5-flash-lite,llama3.1-8b,prompt embedding,text-embedding-3-large,TestEval_line,0.9694029850746269,0.9895522388059701,0.9992537313432835,0.9589552238805971,0.9791044776119403
